Word,Frequency,Replace,Replace_with
scaffolder,5,1,scaffolding
frenchspeaking,5,1,
sideloader,5,1,loader
braintree,5,1,
multitrader,5,1,trader
developments,5,1,development
representitive,5,1,representative
structuralarchitectural,5,0,
biddable,5,1,
consultantforeign,5,0,
summary,5,1,
stansted,5,1,
glamorgan,5,1,
gross,5,1,
sugarman,5,1,
lubricants,5,1,lubricant
6070k,5,1,
crec,5,1,
southgate,5,1,
regis,5,1,
ec1,5,1,
bermuda,5,1,
companies,5,1,company
550,5,1,
ec1v,5,1,
6m,5,1,
achieving,5,1,
36000,5,1,
docklands,5,1,
futures,5,1,
introducer,5,1,adviser
malling,5,1,
waterloo,5,1,
northants,5,1,
21500,5,1,
apis,5,1,web
dearne,5,1,
regions,5,1,
10k,5,1,
14ph,5,1,
46000,5,1,
1100,5,1,
1821k,5,1,
londo,5,1,
se11,5,1,
frome,5,1,
